"","year","team","conference","division","total_games","total_wins","total_losses","total_ties","conference_games","conference_wins","conference_losses","conference_ties","home_games","home_wins","home_losses","home_ties","away_games","away_wins","away_losses","away_ties"
"1",2000,"Air Force","Mountain West","",12,9,3,0,7,5,2,0,6,5,1,0,5,3,2,0
"2",2000,"Akron","Mid-American","East",11,6,5,0,8,5,3,0,6,3,3,0,5,3,2,0
"3",2000,"Alabama","SEC","West",11,3,8,0,8,3,5,0,6,3,3,0,5,0,5,0
"4",2000,"Arizona","Pac-10","",11,5,6,0,8,3,5,0,6,2,4,0,5,3,2,0
"5",2000,"Arizona State","Pac-10","",12,6,6,0,8,3,5,0,6,3,3,0,5,3,2,0
"6",2000,"Arkansas","SEC","West",12,6,6,0,8,3,5,0,7,5,2,0,4,1,3,0
"7",2000,"Arkansas State","Big West","",11,1,10,0,5,1,4,0,5,1,4,0,6,0,6,0
"8",2000,"Army","Conference USA","",11,1,10,0,7,1,6,0,5,1,4,0,6,0,6,0
"9",2000,"Auburn","SEC","West",13,9,4,0,9,6,3,0,7,7,0,0,4,2,2,0
"10",2000,"Ball State","Mid-American","West",11,5,6,0,7,4,3,0,5,2,3,0,6,3,3,0
"11",2000,"Baylor","Big 12","South",11,2,9,0,8,0,8,0,6,1,5,0,5,1,4,0
"12",2000,"Boise State","Big West","",12,10,2,0,5,5,0,0,5,5,0,0,6,4,2,0
"13",2000,"Boston College","Big East","",12,7,5,0,7,3,4,0,6,5,1,0,5,1,4,0
"14",2000,"Bowling Green","Mid-American","East",11,2,9,0,8,2,6,0,5,1,4,0,6,1,5,0
"15",2000,"Buffalo","Mid-American","East",11,2,9,0,8,2,6,0,5,2,3,0,6,0,6,0
"16",2000,"BYU","Mountain West","",12,6,6,0,7,4,3,0,6,4,2,0,6,2,4,0
"17",2000,"California","Pac-10","",11,3,8,0,8,2,6,0,5,2,3,0,6,1,5,0
"18",2000,"Central Michigan","Mid-American","West",11,2,9,0,8,2,6,0,5,2,3,0,6,0,6,0
"19",2000,"Cincinnati","Conference USA","",12,7,5,0,7,5,2,0,6,6,0,0,5,1,4,0
"20",2000,"Clemson","ACC","",12,9,3,0,8,6,2,0,7,6,1,0,4,3,1,0
"21",2000,"Colorado","Big 12","North",11,3,8,0,8,3,5,0,5,1,4,0,6,2,4,0
"22",2000,"Colorado State","Mountain West","",12,10,2,0,7,6,1,0,6,6,0,0,5,3,2,0
"23",2000,"Connecticut","FBS Independents","",11,3,8,0,2,0,2,0,5,1,4,0,6,2,4,0
"24",2000,"Duke","ACC","",11,0,11,0,8,0,8,0,5,0,5,0,6,0,6,0
