"","rec_year","team","conference","position_group","avg_rating","total_rating","commits","avg_stars"
"1",2000,"Alabama","SEC","Defensive Back",0.982699990272522,0.9827,1,4
"2",2000,"Alabama","SEC","Defensive Line",0.976300001144409,4.8815,5,4.6
"3",2000,"Alabama","SEC","Linebacker",0.969900012016296,0.9699,1,4
"4",2000,"Alabama","SEC","Offensive Line",0.961399972438812,0.9614,1,4
"5",2000,"Arizona State","Pac-10","Quarterback",0.967100024223328,0.9671,1,4
"6",2000,"Arizona State","Pac-10","Special Teams",0.976499974727631,0.9765,1,4
"7",2000,"Arkansas","SEC","Defensive Back",0.972599983215332,1.9452,2,4
"8",2000,"Arkansas","SEC","Defensive Line",0.961399972438812,0.9614,1,4
"9",2000,"Auburn","SEC","Defensive Line",0.960200011730194,0.9602,1,4
"10",2000,"Auburn","SEC","Quarterback",0.985300004482269,0.9853,1,5
"11",2000,"Auburn","SEC","Running Back",0.963100016117096,0.9631,1,4
"12",2000,"Boston College","Big East","Defensive Line",0.973299980163574,0.9733,1,4
"13",2000,"Clemson","ACC","Running Back",0.971499979496002,0.9715,1,4
"14",2000,"Colorado","Big 12","Quarterback",0.973900020122528,0.9739,1,4
"15",2000,"Colorado","Big 12","Receiver",0.968299984931946,0.9683,1,4
"16",2000,"Colorado","Big 12","Running Back",0.998000025749207,0.998,1,5
"17",2000,"Florida","SEC","Defensive Back",0.984249979257584,1.9685,2,4.5
"18",2000,"Florida","SEC","Defensive Line",0.979750007390976,1.9595,2,4.5
"19",2000,"Florida","SEC","Offensive Line",0.979099988937378,0.9791,1,4
"20",2000,"Florida","SEC","Quarterback",0.999800026416779,0.9998,1,5
"21",2000,"Florida","SEC","Receiver",0.975500007470449,2.9265,3,4
"22",2000,"Florida","SEC","Running Back",0.964699983596802,0.9647,1,4
"23",2000,"Florida State","ACC","Defensive Back",0.993999987840652,1.988,2,5
"24",2000,"Florida State","ACC","Defensive Line",0.998199999332428,0.9982,1,5
"25",2000,"Florida State","ACC","Linebacker",0.979399998982747,2.9382,3,4.33333333333333
"26",2000,"Florida State","ACC","Offensive Line",0.965699970722198,0.9657,1,4
"27",2000,"Florida State","ACC","Quarterback",0.982699990272522,0.9827,1,4
"28",2000,"Florida State","ACC","Running Back",0.983699977397919,0.9837,1,5
"29",2000,"Georgia","SEC","Running Back",0.989000022411346,0.989,1,5
"30",2000,"Georgia Tech","ACC","Linebacker",0.979099988937378,0.9791,1,4
"31",2000,"Georgia Tech","ACC","Quarterback",0.96670001745224,0.9667,1,4
"32",2000,"Indiana","Big Ten","Defensive Line",0.962700009346008,0.9627,1,4
"33",2000,"Iowa","Big Ten","Running Back",0.974500000476837,0.9745,1,4
"34",2000,"Kansas State","Big 12","Offensive Line",0.976300001144409,0.9763,1,4
"35",2000,"Kentucky","SEC","Offensive Line",0.994599997997284,0.9946,1,5
"36",2000,"LSU","SEC","Defensive Back",0.975899994373322,0.9759,1,4
"37",2000,"LSU","SEC","Running Back",0.965900003910065,0.9659,1,4
"38",2000,"Maryland","ACC","Quarterback",0.964699983596802,0.9647,1,4
"39",2000,"Miami","Big East","Defensive Back",0.974699974060059,0.9747,1,4
"40",2000,"Miami","Big East","Defensive Line",0.96670001745224,0.9667,1,4
"41",2000,"Miami","Big East","Linebacker",0.999800026416779,0.9998,1,5
"42",2000,"Miami","Big East","Offensive Line",0.975899994373322,0.9759,1,4
"43",2000,"Miami","Big East","Receiver",0.988399982452393,0.9884,1,5
"44",2000,"Miami","Big East","Running Back",0.994799971580505,0.9948,1,5
"45",2000,"Michigan","Big Ten","Linebacker",0.979099988937378,0.9791,1,4
"46",2000,"Michigan State","Big Ten","Offensive Line",0.97189998626709,0.9719,1,4
"47",2000,"Michigan State","Big Ten","Quarterback",0.992200016975403,0.9922,1,5
"48",2000,"Michigan State","Big Ten","Receiver",0.990949988365173,1.9819,2,4.5
"49",2000,"Michigan State","Big Ten","Running Back",0.972500026226044,0.9725,1,4
"50",2000,"Nebraska","Big 12","Linebacker",0.974699974060059,0.9747,1,4
"51",2000,"Nebraska","Big 12","Receiver",0.983299970626831,0.9833,1,5
"52",2000,"Notre Dame","FBS Independents","Defensive Line",0.977100014686584,0.9771,1,4
"53",2000,"Notre Dame","FBS Independents","Linebacker",0.966300010681152,0.9663,1,4
"54",2000,"Notre Dame","FBS Independents","Receiver",0.973900020122528,0.9739,1,4
"55",2000,"Notre Dame","FBS Independents","Running Back",0.974300026893616,0.9743,1,4
"56",2000,"Ohio State","Big Ten","Defensive Line",0.978100001811981,1.9562,2,4.5
"57",2000,"Ohio State","Big Ten","Linebacker",0.991800010204315,0.9918,1,5
"58",2000,"Ohio State","Big Ten","Running Back",0.996399998664856,0.9964,1,5
"59",2000,"Oklahoma","Big 12","Offensive Line",0.986899971961975,0.9869,1,5
